	buy_name	buy_currency	buy_pair	buy_price_usd	buy_price_btc	buy_category	buy_fee_type	buy_updated	sell_name	sell_currency	sell_pair	sell_price_usd	sell_price_btc	sell_category	sell_fee_type	sell_updated	gross_margin	margin
70	C2CX	Time New Bank	TNB/USDT	2.0138394704400002e-08	5.103717055759999e-12	Spot	Percentage	Recently	FCoin	Time New Bank	TNB/USDT	0.019230322318500002	4.8726239748099995e-06	Spot	Transaction Mining	Recently	0.019230302180105296	99.99989527791385
14	BitMart	Zcash	ZEC/USDT	1.11768090609	0.00028325629659500004	Spot	Percentage	Recently	UPbit	Zcash	ZEC/USDT	51.8444343694	0.013137238966700002	Spot	Percentage	Recently	50.72675346331	97.84416414281552
92	CoinBene	Moeda Loyalty Points	MDA/USDT	0.0402729263215	1.02044481148e-05	Spot	Percentage	Recently	OKEx	Moeda Loyalty Points	MDA/USDT	1.19781751112	0.00030350579805400003	Spot	Percentage	Recently	1.1575445847985	96.63780785072649
51	ABCC	E-Dinar Coin	EDR/USDT	0.00101185902047	2.56402329666e-07	Spot	Percentage	Recently	DigiFinex	Endor Protocol	EDR/USDT	0.0298020169214	7.55175020708e-06	Spot	Transaction Mining	Recently	0.028790157900929998	96.60472972974048
127	CoinMex	Loopring [NEO]	LRN/USDT	0.0030215931355199997	7.65138733368e-07	Spot	Percentage	Recently	Gate.io	Loopring [NEO]	LRN/USDT	0.0708059991424	1.79297509853e-05	Spot	Percentage	Recently	0.06778440600688	95.732574679946
131	Coinall	GoChain	GO/USDT	0.00201364631607	5.10222405739e-07	Spot	Percentage	Recently	KuCoin	GoChain	GO/USDT	0.021084899255499997	5.34359175739e-06	Spot	Transaction Mining	Recently	0.019071252939429996	90.44981770285318
187	Gate.io	BitcoinX	BCX/USDT	0.00122978840616	3.11411464481e-07	Spot	Percentage	Recently	ZB.COM	BitcoinX	BCX/USDT	0.008614378940159999	2.18273145175e-06	Spot	Percentage	Recently	0.007384590533999999	85.72400384632766
44	CoinBene	CyberMiles	CMT/USDT	0.021747380213599996	5.51040198198e-06	Spot	Percentage	Recently	OKEx	CyberMiles	CMT/USDT	0.12083036822599999	3.06223023346e-05	Spot	Transaction Mining	Recently	0.0990829880124	82.00172644270694
52	Gate.io	Nano	NANO/USDT	0.9605644577820001	0.00024323760333800002	Spot	Percentage	Recently	OKEx	Nano	NANO/USDT	3.4506256069699996	0.000874327574034	Spot	Percentage	Recently	2.4900611491879996	72.1625998531474
192	BitForex	Essentia	ESS/USDT	0.00040272995839699994	1.02050678474e-07	Spot	Percentage	Recently	CoinBene	Essentia	ESS/USDT	0.0014226411223100001	3.6047212965500003e-07	Spot	Percentage	Recently	0.0010199111639130002	71.69138779405793
183	Gate.io	eosDAC	EOSDAC/USDT	0.0052374281015699995	1.32624047117e-06	Spot	Percentage	Recently	ZB.COM	eosDAC	EOSDAC/USDT	0.017169355314	4.35041134254e-06	Spot	Percentage	Recently	0.01193192721243	69.49548771176418
188	CoinBene	IHT Real Estate Protocol	IHT/USDT	0.009276290926049998	2.34897591144e-06	Spot	Percentage	Recently	Gate.io	IHT Real Estate Protocol	IHT/USDT	0.027687636845999997	7.0155580789100005e-06	Spot	Percentage	Recently	0.01841134591995	66.49663177234957
69	CoinBene	Bitcoin Diamond	BCD/USDT	0.7360571993230001	0.00018650389197099996	Spot	Percentage	Recently	OKEx	Bitcoin Diamond	BCD/USDT	2.19487448452	0.000556142422256	Spot	Percentage	Recently	1.458817285197	66.46472477062991
