name	cmc_url
BitMax	https://coinmarketcap.com/exchanges/bitmax/
Bithumb	https://coinmarketcap.com/exchanges/bithumb/
Binance	https://coinmarketcap.com/exchanges/binance/
UPbit	https://coinmarketcap.com/exchanges/upbit/
DigiFinex	https://coinmarketcap.com/exchanges/digifinex/
HitBTC	https://coinmarketcap.com/exchanges/hitbtc/
BitMEX	https://coinmarketcap.com/exchanges/bitmex/
ZBG	https://coinmarketcap.com/exchanges/zbg/
BW	https://coinmarketcap.com/exchanges/bw/
BitForex	https://coinmarketcap.com/exchanges/bitforex/
Coinbit	https://coinmarketcap.com/exchanges/coinbit/
Fatbtc	https://coinmarketcap.com/exchanges/fatbtc/
CoinBene	https://coinmarketcap.com/exchanges/coinbene/
ZB.COM	https://coinmarketcap.com/exchanges/zb-com/
Coinall	https://coinmarketcap.com/exchanges/coinall/
IDAX	https://coinmarketcap.com/exchanges/idax/
Bibox	https://coinmarketcap.com/exchanges/bibox/
OKEx	https://coinmarketcap.com/exchanges/okex/
Bgogo	https://coinmarketcap.com/exchanges/bgogo/
Bit-Z	https://coinmarketcap.com/exchanges/bit-z/
OEX	https://coinmarketcap.com/exchanges/oex/
Coineal	https://coinmarketcap.com/exchanges/coineal/
55 Global Mar...	https://coinmarketcap.com/exchanges/55-global-markets/
LBank	https://coinmarketcap.com/exchanges/lbank/
BCEX	https://coinmarketcap.com/exchanges/bcex/
EXX	https://coinmarketcap.com/exchanges/exx/
Huobi Global	https://coinmarketcap.com/exchanges/huobi-global/
P2PB2B	https://coinmarketcap.com/exchanges/p2pb2b/
Cryptonex	https://coinmarketcap.com/exchanges/cryptonex/
IDCM	https://coinmarketcap.com/exchanges/idcm/
BitMart	https://coinmarketcap.com/exchanges/bitmart/
Coinsuper	https://coinmarketcap.com/exchanges/coinsuper/
LATOKEN	https://coinmarketcap.com/exchanges/latoken/
CoinEgg	https://coinmarketcap.com/exchanges/coinegg/
RightBTC	https://coinmarketcap.com/exchanges/rightbtc/
CHAOEX	https://coinmarketcap.com/exchanges/chaoex/
Simex	https://coinmarketcap.com/exchanges/simex/
DragonEX	https://coinmarketcap.com/exchanges/dragonex/
LocalTrade	https://coinmarketcap.com/exchanges/localtrade/
CoinTiger	https://coinmarketcap.com/exchanges/cointiger/
Exrates	https://coinmarketcap.com/exchanges/exrates/
Allcoin	https://coinmarketcap.com/exchanges/allcoin/
DOBI Exchange	https://coinmarketcap.com/exchanges/dobi-exchange/
BiteBTC	https://coinmarketcap.com/exchanges/bitebtc/
UEX	https://coinmarketcap.com/exchanges/uex/
BITKER	https://coinmarketcap.com/exchanges/bitker/
OOOBTC	https://coinmarketcap.com/exchanges/ooobtc/
Coinbase Pro	https://coinmarketcap.com/exchanges/coinbase-pro/
